"","image","specie","group","id","length","area","width","depth","tip_count"
"59","dicot-sim-103-8-20.rsml.jpg","dicot","103","8",103.420334,293.64093,2.9802666,16.5862,109
"60","dicot-sim-103-9-20.rsml.jpg","dicot","103","9",112.4966,309.28732,2.8956,16.577734,117
"61","dicot-sim-104-1-20.rsml.jpg","dicot","104","1",201.59775,778.76587,10.120731,30.118193,54
"62","dicot-sim-104-10-20.rsml.jpg","dicot","104","10",235.4263,788.2189,12.056668,30.122774,55
"63","dicot-sim-104-2-20.rsml.jpg","dicot","104","2",227.10817,776.71234,11.457602,30.11678,57
"64","dicot-sim-104-3-20.rsml.jpg","dicot","104","3",193.2424,712.1811,11.026326,30.112564,44
"65","dicot-sim-104-4-20.rsml.jpg","dicot","104","4",230.02847,859.0877,10.659398,30.109482,57
"66","dicot-sim-104-5-20.rsml.jpg","dicot","104","5",214.27953,849.9258,10.332923,30.109108,52
"67","dicot-sim-104-6-20.rsml.jpg","dicot","104","6",195.78128,789.4894,10.216896,30.107916,57
"68","dicot-sim-104-7-20.rsml.jpg","dicot","104","7",197.02806,699.80176,11.4616995,30.11104,47
"69","dicot-sim-104-8-20.rsml.jpg","dicot","104","8",219.35925,705.4477,12.707069,30.118006,53
"70","dicot-sim-104-9-20.rsml.jpg","dicot","104","9",215.5388,777.4105,11.030966,30.111868,56
"71","dicot-sim-105-1-20.rsml.jpg","dicot","105","1",108.847466,259.19852,7.0442667,21.065067,59
"72","dicot-sim-105-10-20.rsml.jpg","dicot","105","10",106.0958,261.7978,5.1392665,21.0566,56
"73","dicot-sim-105-2-20.rsml.jpg","dicot","105","2",95.9612,239.30186,5.6811333,21.0566,57
"74","dicot-sim-105-3-20.rsml.jpg","dicot","105","3",94.58113,245.55873,6.3923335,21.0566,51
"75","dicot-sim-105-4-20.rsml.jpg","dicot","105","4",92.769264,236.44012,5.7404,21.0566,55
"76","dicot-sim-105-5-20.rsml.jpg","dicot","105","5",95.44473,242.55307,5.7912,21.0566,55
"77","dicot-sim-105-6-20.rsml.jpg","dicot","105","6",109.965065,276.24194,6.5024,21.065067,58
"78","dicot-sim-105-7-20.rsml.jpg","dicot","105","7",104.25853,263.6012,6.341533,21.065067,58
