"","image","specie","group","id","tree_size","tree_magnitude","tree_altitude","tree_index"
"88","dicot-sim-106-7-8.rsml","dicot","106","7",149,75,75,1
"89","dicot-sim-106-8-8.rsml","dicot","106","8",149,75,75,1
"90","dicot-sim-106-9-8.rsml","dicot","106","9",149,75,75,1
"91","dicot-sim-107-1-20.rsml","dicot","107","1",37,19,19,1
"92","dicot-sim-107-10-20.rsml","dicot","107","10",41,21,21,1
"93","dicot-sim-107-2-20.rsml","dicot","107","2",57,29,29,1
"94","dicot-sim-107-3-20.rsml","dicot","107","3",49,25,25,1
"95","dicot-sim-107-4-20.rsml","dicot","107","4",39,20,20,1
"96","dicot-sim-107-5-20.rsml","dicot","107","5",41,21,21,1
"97","dicot-sim-107-6-20.rsml","dicot","107","6",51,26,26,1
"98","dicot-sim-107-7-20.rsml","dicot","107","7",37,19,19,1
"99","dicot-sim-107-8-20.rsml","dicot","107","8",35,18,18,1
"100","dicot-sim-107-9-20.rsml","dicot","107","9",47,24,24,1
"101","dicot-sim-108-1-20.rsml","dicot","108","1",71,36,36,1
"102","dicot-sim-108-10-20.rsml","dicot","108","10",77,39,39,1
"103","dicot-sim-108-2-20.rsml","dicot","108","2",57,29,29,1
"104","dicot-sim-108-3-20.rsml","dicot","108","3",75,38,38,1
"105","dicot-sim-108-4-20.rsml","dicot","108","4",67,34,34,1
"106","dicot-sim-108-5-20.rsml","dicot","108","5",59,30,30,1
"107","dicot-sim-108-6-20.rsml","dicot","108","6",65,33,33,1
"108","dicot-sim-108-7-20.rsml","dicot","108","7",75,38,38,1
"109","dicot-sim-108-8-20.rsml","dicot","108","8",53,27,27,1
"110","dicot-sim-108-9-20.rsml","dicot","108","9",79,40,40,1
"111","dicot-sim-109-1-20.rsml","dicot","109","1",261,131,131,1
"112","dicot-sim-109-10-20.rsml","dicot","109","10",259,130,130,1
"113","dicot-sim-109-2-20.rsml","dicot","109","2",261,131,131,1
"114","dicot-sim-109-3-20.rsml","dicot","109","3",271,136,136,1
"115","dicot-sim-109-4-20.rsml","dicot","109","4",255,128,128,1
"116","dicot-sim-109-5-20.rsml","dicot","109","5",249,125,125,1
"117","dicot-sim-109-6-20.rsml","dicot","109","6",265,133,133,1
"118","dicot-sim-109-7-20.rsml","dicot","109","7",245,123,123,1
"119","dicot-sim-109-8-20.rsml","dicot","109","8",257,129,129,1
"120","dicot-sim-109-9-20.rsml","dicot","109","9",255,128,128,1
"121","dicot-sim-11-1-20.rsml","dicot","11","1",39,20,20,1
"122","dicot-sim-11-10-20.rsml","dicot","11","10",67,34,34,1
"123","dicot-sim-11-2-20.rsml","dicot","11","2",59,30,30,1
"124","dicot-sim-11-3-20.rsml","dicot","11","3",59,30,30,1
"125","dicot-sim-11-4-20.rsml","dicot","11","4",57,29,29,1
"126","dicot-sim-11-5-20.rsml","dicot","11","5",55,28,28,1
"127","dicot-sim-11-6-20.rsml","dicot","11","6",69,35,35,1
"128","dicot-sim-11-7-20.rsml","dicot","11","7",55,28,28,1
"129","dicot-sim-11-8-20.rsml","dicot","11","8",65,33,33,1
"130","dicot-sim-11-9-20.rsml","dicot","11","9",53,27,27,1
"131","dicot-sim-110-1-20.rsml","dicot","110","1",37,19,19,1
"132","dicot-sim-110-10-20.rsml","dicot","110","10",35,18,18,1
"133","dicot-sim-110-2-20.rsml","dicot","110","2",33,17,17,1
"134","dicot-sim-110-3-20.rsml","dicot","110","3",35,18,18,1
"135","dicot-sim-110-4-20.rsml","dicot","110","4",37,19,19,1
"136","dicot-sim-110-5-20.rsml","dicot","110","5",29,15,15,1
"137","dicot-sim-110-6-20.rsml","dicot","110","6",33,17,17,1
"138","dicot-sim-110-7-20.rsml","dicot","110","7",39,20,20,1
"139","dicot-sim-110-8-20.rsml","dicot","110","8",29,15,15,1
"140","dicot-sim-110-9-20.rsml","dicot","110","9",29,15,15,1
"141","dicot-sim-111-1-20.rsml","dicot","111","1",93,47,47,1
"142","dicot-sim-111-10-20.rsml","dicot","111","10",99,50,50,1
