image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index,overlap
monocot-sim-237-4-25.rsml,4753.268,44.196003,254.93134,22.888842,16,3366.0,211.11194,0.2550017,0.12519906,144,1290.0,9.551932,0.077987924,35.56302,304,160.0,25.0,0.15625,0.53752536
monocot-sim-237-5-25.rsml,5140.806,41.317333,254.93134,22.680834,16,3367.0,211.05385,0.2550017,0.16409732,225,1650.0,7.8397484,0.07720958,40.295837,466,241.0,28.0,0.11618257,0.59713167
monocot-sim-237-6-25.rsml,4902.341,42.418003,254.93134,23.00604,16,3368.0,211.06894,0.2550017,0.14847086,176,1436.0,8.666129,0.07806631,39.172604,368,192.0,29.0,0.15104167,0.54924875
monocot-sim-237-7-25.rsml,5089.0166,36.152668,254.93134,22.885132,16,3368.0,211.05547,0.2550017,0.1566821,216,1601.0,7.9265265,0.07708567,39.092266,448,232.0,33.0,0.14224137,0.56621623
monocot-sim-237-8-25.rsml,5129.205,36.745335,254.93134,22.62979,16,3368.0,211.1888,0.2550017,0.14450692,218,1645.0,8.028365,0.07715235,40.906696,452,234.0,29.0,0.123931624,0.58210945
monocot-sim-237-9-25.rsml,4993.748,42.502666,254.93134,22.240088,16,3372.0,211.46858,0.2550017,0.15481234,204,1503.0,7.8933835,0.07702122,39.231094,424,220.0,31.0,0.14090909,0.5761494
monocot-sim-238-1-25.rsml,838.84576,49.868668,249.936,21.361969,3,732.0,244.8871,0.25100014,0.17159498,14,98.0,7.4417496,0.09913465,53.128597,31,17.0,9.0,0.5294118,0.19148937
monocot-sim-238-10-25.rsml,846.0097,30.649334,249.936,24.29123,3,728.0,243.40808,0.25100014,0.11791659,14,109.0,8.2704,0.10139832,55.65815,31,17.0,8.0,0.47058824,0.26
monocot-sim-238-2-25.rsml,799.01105,32.258,249.936,21.42702,3,729.0,243.6661,0.25100014,0.138204,9,63.0,7.5569725,0.09620804,50.66959,21,12.0,6.0,0.5,0.13333334
monocot-sim-238-3-25.rsml,868.109,28.109335,249.936,22.526394,3,726.0,242.78828,0.25100014,0.15371965,16,130.0,8.733996,0.10022475,56.597782,35,19.0,12.0,0.6315789,0.35185185
monocot-sim-238-4-25.rsml,828.7805,27.008667,249.936,21.477892,3,728.0,243.44559,0.25100014,0.12326312,10,92.0,9.844378,0.09801769,60.90786,23,13.0,8.0,0.61538464,0.27027026
monocot-sim-238-5-25.rsml,797.9873,32.935333,249.936,22.752344,3,728.0,243.35582,0.25100014,0.17742388,10,61.0,6.792003,0.09936782,49.9261,23,13.0,10.0,0.7692308,0.32258064
monocot-sim-238-6-25.rsml,845.0644,44.534668,249.936,22.074438,3,732.0,244.97943,0.25100014,0.13731478,14,103.0,7.86615,0.09740875,56.94494,31,17.0,7.0,0.4117647,0.16666667
monocot-sim-238-7-25.rsml,852.70306,29.633335,249.936,22.263641,3,732.0,244.47792,0.25100014,0.090342134,13,112.0,9.174565,0.09945812,60.491367,29,16.0,7.0,0.4375,0.1521739
monocot-sim-238-8-25.rsml,910.6101,23.368,249.936,21.19102,3,726.0,242.59482,0.25100014,0.14261849,21,171.0,8.705986,0.09948513,54.92373,45,24.0,10.0,0.41666666,0.29166666
monocot-sim-238-9-25.rsml,800.5635,18.965334,249.936,22.07626,3,724.0,241.9947,0.25100014,0.1422952,12,68.0,6.2149496,0.097434364,45.948185,27,15.0,8.0,0.53333336,0.17948718
monocot-sim-239-1-25.rsml,587.29004,27.770668,99.737335,23.011986,10,582.0,58.729,0.23099974,0.0,0,0.0,0.0,0.0,0.0,10,10.0,10.0,1.0,0.0
monocot-sim-239-10-25.rsml,602.13763,21.251333,99.737335,22.678436,10,575.0,58.12577,0.23099974,0.0,3,19.0,6.9600043,0.114912525,40.904602,16,13.0,10.0,0.7692308,0.11111111
monocot-sim-239-2-25.rsml,601.94165,26.162,99.737335,22.319283,10,582.0,58.8037,0.23099974,0.21982884,2,13.0,6.952355,0.10265232,21.203913,14,12.0,10.0,0.8333333,0.0
monocot-sim-239-3-25.rsml,591.71826,23.452667,99.737335,23.36157,10,580.0,58.512344,0.23099974,0.0,1,6.0,6.5947657,0.10922881,41.254208,12,11.0,10.0,0.90909094,0.0
monocot-sim-239-4-25.rsml,592.53986,21.59,99.737335,22.758137,10,582.0,58.78259,0.23099974,0.0,1,4.0,4.7139745,0.10398388,32.34455,12,11.0,10.0,0.90909094,0.33333334
monocot-sim-239-5-25.rsml,591.96515,24.976667,99.737335,22.789976,10,579.0,58.497833,0.23099974,0.0,1,6.0,6.9868255,0.116748735,42.87695,12,11.0,10.0,0.90909094,0.0
monocot-sim-239-6-25.rsml,586.98254,26.331335,99.737335,22.938675,10,582.0,58.698254,0.23099974,0.0,0,0.0,0.0,0.0,0.0,10,10.0,10.0,1.0,0.0
monocot-sim-239-7-25.rsml,595.9511,26.754667,99.737335,21.927807,10,585.0,59.055866,0.23099974,0.0,1,5.0,5.3924613,0.11146968,15.177527,12,11.0,10.0,0.90909094,0.0
monocot-sim-239-8-25.rsml,601.20056,21.420668,99.737335,23.018635,10,582.0,58.74733,0.23099974,0.0,2,13.0,6.8636317,0.10283664,20.568855,14,12.0,10.0,0.8333333,0.16666667
monocot-sim-239-9-25.rsml,619.0166,28.024668,99.737335,22.503843,10,586.0,59.149315,0.23099974,0.4396677,4,25.0,6.880861,0.113419205,37.36545,18,14.0,10.0,0.71428573,0.0
monocot-sim-24-1-25.rsml,5603.4434,54.356003,164.93068,22.945686,17,2130.0,125.813225,0.24600044,0.24710175,346,3292.0,10.013347,0.09574735,34.324413,709,363.0,36.0,0.09917355,0.6093991
monocot-sim-24-10-25.rsml,6059.237,51.223335,164.93068,22.886242,17,2133.0,126.03319,0.24600044,0.28216046,421,3716.0,9.303259,0.095639385,36.282818,859,438.0,40.0,0.0913242,0.61107576
monocot-sim-24-2-25.rsml,5998.1006,52.070004,164.93068,23.141027,17,2125.0,125.58147,0.24600044,0.28904405,428,3659.0,9.026206,0.09530778,35.223274,873,445.0,41.0,0.09213483,0.6257862
monocot-sim-24-3-25.rsml,5982.381,51.816,164.93068,22.85426,17,2133.0,126.01098,0.24600044,0.25769258,358,3645.0,10.726801,0.095820166,35.904453,733,375.0,38.0,0.101333335,0.6126192
monocot-sim-24-4-25.rsml,6099.3633,51.731335,164.93068,22.716648,17,2126.0,125.60563,0.24600044,0.29088888,432,3756.0,9.176082,0.095296495,35.044163,881,449.0,40.0,0.08908686,0.6416615
monocot-sim-24-5-25.rsml,5506.847,56.303333,164.93068,22.79025,17,2135.0,126.21526,0.24600044,0.2520669,332,3178.0,10.12406,0.09531247,35.091915,681,349.0,33.0,0.09455588,0.60561055
monocot-sim-24-6-25.rsml,6020.971,54.525333,164.93068,22.91299,17,2118.0,125.220184,0.24600044,0.28016892,385,3699.0,10.10968,0.095192984,34.997784,787,402.0,36.0,0.08955224,0.61239785
monocot-sim-24-7-25.rsml,6165.652,45.042667,164.93068,22.984022,17,2121.0,125.29654,0.24600044,0.29698646,434,3828.0,9.298646,0.09530872,36.663437,885,451.0,40.0,0.08869179,0.61975306
monocot-sim-24-8-25.rsml,5802.1963,54.18667,164.93068,23.030851,17,2125.0,125.60906,0.24600044,0.24598907,366,3469.0,10.018694,0.09633411,36.382416,749,383.0,40.0,0.10443864,0.58401793
monocot-sim-24-9-25.rsml,6248.9927,57.573334,164.93068,22.804081,17,2131.0,125.91032,0.24600044,0.28065047,423,3908.0,9.71281,0.09565018,35.573513,863,440.0,42.0,0.095454544,0.6243812
monocot-sim-240-1-19.rsml,7655.963,58.081337,120.31134,17.874893,2,194.0,97.70773,0.27699992,1.0942323,751,7049.0,9.93415,0.1536152,70.27916,1504,753.0,451.0,0.5989376,0.6948424
monocot-sim-240-10-19.rsml,8291.684,100.49934,120.90401,18.564037,2,231.0,116.444305,0.27699992,1.1786566,820,7639.0,9.827799,0.15519886,64.88328,1642,822.0,465.0,0.56569344,0.68153495
monocot-sim-240-2-18.rsml,7489.8345,83.14267,109.89734,18.15787,2,199.0,100.03367,0.27699992,1.2493083,729,6909.0,9.999682,0.15456314,71.28632,1460,731.0,464.0,0.6347469,0.6902687
monocot-sim-240-3-18.rsml,6904.762,53.932667,111.08267,18.269287,2,178.0,89.63395,0.27699992,1.2151586,666,6371.0,10.098339,0.15834557,69.04445,1334,668.0,432.0,0.6467066,0.6927924
monocot-sim-240-4-19.rsml,7827.3125,79.58667,119.97267,18.598892,2,216.0,108.678085,0.27699992,1.4787302,754,7228.0,10.092778,0.153154,68.492805,1510,756.0,446.0,0.5899471,0.6923616
monocot-sim-240-5-19.rsml,7701.9785,91.186005,120.142006,18.296024,2,226.0,113.5619,0.27699992,1.5096837,767,7067.0,9.745574,0.1553276,72.34154,1536,769.0,388.0,0.50455135,0.6860343
monocot-sim-240-6-19.rsml,8285.16,70.95067,120.48067,18.781836,2,204.0,102.82693,0.27699992,1.2252498,790,7669.0,10.227225,0.15549062,71.30896,1582,792.0,459.0,0.57954544,0.6915825
monocot-sim-240-7-18.rsml,7066.4927,103.20867,109.982,18.69459,2,214.0,107.39134,0.27699992,1.1132696,678,6496.0,10.105766,0.15776344,69.59586,1358,680.0,419.0,0.6161765,0.67583495
monocot-sim-240-8-18.rsml,7567.492,69.93467,109.982,18.570202,2,178.0,89.824394,0.27699992,1.3369657,728,7004.0,10.148139,0.15734968,66.904045,1458,730.0,444.0,0.6082192,0.6899892
monocot-sim-240-9-19.rsml,7566.4507,100.16067,120.22667,17.981798,2,225.0,113.41299,0.27699992,1.487981,759,6934.0,9.670124,0.1534282,69.99144,1520,761.0,489.0,0.64257556,0.6884315
monocot-sim-241-1-25.rsml,4362.8164,95.92734,234.95001,22.90862,12,2311.0,193.09207,0.30699942,0.282661,300,1889.0,6.8190427,0.10345398,53.50046,612,312.0,41.0,0.13141026,0.5857143
monocot-sim-241-10-25.rsml,3395.7354,97.197334,234.95001,22.900257,12,2331.0,194.65594,0.30699942,0.19141738,144,983.0,7.3601737,0.104584575,50.81055,300,156.0,27.0,0.17307693,0.46521738
