image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index,overlap
dicot-sim-366-1-25.rsml,232.50148,8.720667,164.93068,23.444342,1,169.0,169.99939,0.2664478,0.085755944,6,60.0,10.417012,0.09531606,31.52276,13,7.0,7.0,1.0,0.09090909
dicot-sim-366-10-25.rsml,246.97621,8.551333,164.93068,22.642706,1,169.0,169.99968,0.26939142,0.15436071,9,74.0,8.552949,0.098084554,20.725649,19,10.0,10.0,1.0,0.125
dicot-sim-366-2-25.rsml,231.29404,13.123334,164.93068,21.999659,1,169.0,169.99788,0.2784058,0.06431697,6,58.0,10.216028,0.09446984,26.072731,13,7.0,7.0,1.0,0.13043478
dicot-sim-366-3-25.rsml,206.79329,6.7733335,164.93068,22.776665,1,169.0,169.99655,0.26830783,0.12863392,5,34.0,7.359349,0.09782026,23.418247,11,6.0,6.0,1.0,0.0625
dicot-sim-366-4-25.rsml,225.062,8.805334,164.93068,21.403332,1,169.0,169.99895,0.263897,0.085755944,5,52.0,11.012613,0.10143764,28.126566,11,6.0,6.0,1.0,0.10526316
dicot-sim-366-5-25.rsml,251.78159,6.096,164.93068,23.869125,1,169.0,169.99905,0.27359948,0.105245925,9,77.0,9.0869465,0.09669987,31.980553,19,10.0,10.0,1.0,0.0625
dicot-sim-366-6-25.rsml,243.7227,6.942667,164.93068,24.328495,1,169.0,169.9988,0.27281162,0.18710385,8,70.0,9.215489,0.098204516,35.38456,17,9.0,9.0,1.0,0.035714287
dicot-sim-366-7-25.rsml,259.81488,6.0113335,164.93068,25.173264,1,169.0,169.99767,0.27282885,0.089054264,9,85.0,9.979688,0.1009223,32.058033,19,10.0,10.0,1.0,0.15151516
dicot-sim-366-8-25.rsml,275.59357,11.768667,164.93068,22.489319,1,169.0,169.99895,0.2733455,0.10884407,11,99.0,9.599514,0.101370834,27.784685,23,12.0,12.0,1.0,0.15789473
dicot-sim-366-9-25.rsml,226.40181,9.567333,164.93068,22.562641,1,169.0,169.99498,0.25847316,0.0735051,6,54.0,9.401143,0.100896634,22.071785,13,7.0,7.0,1.0,0.045454547
