"","image","specie","group","id","mean_prim_diameter","mean_lat_diameter"
"80","dicot-sim-105-9-20.rsml","dicot","105","9",0.06383374,0.015102314
"81","dicot-sim-106-1-8.rsml","dicot","106","1",0.4378709,0.09648783
"82","dicot-sim-106-10-8.rsml","dicot","106","10",0.45943794,0.09273752
"83","dicot-sim-106-2-8.rsml","dicot","106","2",0.42356008,0.09175109
"84","dicot-sim-106-3-8.rsml","dicot","106","3",0.44620863,0.10175294
"85","dicot-sim-106-4-8.rsml","dicot","106","4",0.46155643,0.0922278
"86","dicot-sim-106-5-8.rsml","dicot","106","5",0.46634588,0.09739733
"87","dicot-sim-106-6-8.rsml","dicot","106","6",0.4306116,0.0910643
"88","dicot-sim-106-7-8.rsml","dicot","106","7",0.4458651,0.09413143
"89","dicot-sim-106-8-8.rsml","dicot","106","8",0.45331144,0.0949408
"90","dicot-sim-106-9-8.rsml","dicot","106","9",0.44348705,0.09534418
"91","dicot-sim-107-1-20.rsml","dicot","107","1",0.037896395,0.008938926
"92","dicot-sim-107-10-20.rsml","dicot","107","10",0.03688366,0.009717597
"93","dicot-sim-107-2-20.rsml","dicot","107","2",0.039940827,0.009469054
"94","dicot-sim-107-3-20.rsml","dicot","107","3",0.038884144,0.008561577
"95","dicot-sim-107-4-20.rsml","dicot","107","4",0.039588213,0.009630896
"96","dicot-sim-107-5-20.rsml","dicot","107","5",0.03925253,0.009262655
"97","dicot-sim-107-6-20.rsml","dicot","107","6",0.038210437,0.009136007
"98","dicot-sim-107-7-20.rsml","dicot","107","7",0.038394682,0.0096183885
"99","dicot-sim-107-8-20.rsml","dicot","107","8",0.038761925,0.009561666
"100","dicot-sim-107-9-20.rsml","dicot","107","9",0.039049838,0.009112431
"101","dicot-sim-108-1-20.rsml","dicot","108","1",0.04800054,0.013342766
"102","dicot-sim-108-10-20.rsml","dicot","108","10",0.048078116,0.012651117
"103","dicot-sim-108-2-20.rsml","dicot","108","2",0.04842665,0.014049909
"104","dicot-sim-108-3-20.rsml","dicot","108","3",0.048776217,0.013059261
"105","dicot-sim-108-4-20.rsml","dicot","108","4",0.049239814,0.013580027
"106","dicot-sim-108-5-20.rsml","dicot","108","5",0.049244255,0.014048512
"107","dicot-sim-108-6-20.rsml","dicot","108","6",0.04898527,0.013133468
"108","dicot-sim-108-7-20.rsml","dicot","108","7",0.04946723,0.013465373
"109","dicot-sim-108-8-20.rsml","dicot","108","8",0.046837855,0.013942143
"110","dicot-sim-108-9-20.rsml","dicot","108","9",0.049348474,0.012652244
"111","dicot-sim-109-1-20.rsml","dicot","109","1",0.12857056,0.018604085
"112","dicot-sim-109-10-20.rsml","dicot","109","10",0.12518321,0.018481303
"113","dicot-sim-109-2-20.rsml","dicot","109","2",0.12602456,0.01847351
"114","dicot-sim-109-3-20.rsml","dicot","109","3",0.12851399,0.018986788
"115","dicot-sim-109-4-20.rsml","dicot","109","4",0.12555143,0.018840423
"116","dicot-sim-109-5-20.rsml","dicot","109","5",0.12849325,0.019045072
"117","dicot-sim-109-6-20.rsml","dicot","109","6",0.13305414,0.018804517
"118","dicot-sim-109-7-20.rsml","dicot","109","7",0.12283223,0.018646782
"119","dicot-sim-109-8-20.rsml","dicot","109","8",0.12421595,0.01846447
"120","dicot-sim-109-9-20.rsml","dicot","109","9",0.12497804,0.018911345
"121","dicot-sim-11-1-20.rsml","dicot","11","1",0.06858301,0.016333345
"122","dicot-sim-11-10-20.rsml","dicot","11","10",0.07404361,0.016213173
"123","dicot-sim-11-2-20.rsml","dicot","11","2",0.07261973,0.016778138
"124","dicot-sim-11-3-20.rsml","dicot","11","3",0.07387583,0.016708136
"125","dicot-sim-11-4-20.rsml","dicot","11","4",0.07455864,0.016549204
"126","dicot-sim-11-5-20.rsml","dicot","11","5",0.07561438,0.016875954
"127","dicot-sim-11-6-20.rsml","dicot","11","6",0.074322306,0.016591758
"128","dicot-sim-11-7-20.rsml","dicot","11","7",0.07271286,0.016540466
"129","dicot-sim-11-8-20.rsml","dicot","11","8",0.07295242,0.01659422
"130","dicot-sim-11-9-20.rsml","dicot","11","9",0.07363887,0.016933339
"131","dicot-sim-110-1-20.rsml","dicot","110","1",0.03653628,0.011562177
"132","dicot-sim-110-10-20.rsml","dicot","110","10",0.037567846,0.01229844
"133","dicot-sim-110-2-20.rsml","dicot","110","2",0.035544038,0.010729867
"134","dicot-sim-110-3-20.rsml","dicot","110","3",0.034905523,0.011305928
"135","dicot-sim-110-4-20.rsml","dicot","110","4",0.034631018,0.012631235
"136","dicot-sim-110-5-20.rsml","dicot","110","5",0.035784904,0.012206325
"137","dicot-sim-110-6-20.rsml","dicot","110","6",0.036407046,0.01054474
"138","dicot-sim-110-7-20.rsml","dicot","110","7",0.03654912,0.012669512
"139","dicot-sim-110-8-20.rsml","dicot","110","8",0.039078698,0.011362881
"140","dicot-sim-110-9-20.rsml","dicot","110","9",0.036807597,0.011493066
"141","dicot-sim-111-1-20.rsml","dicot","111","1",0.11424948,0.030951232
"142","dicot-sim-111-10-20.rsml","dicot","111","10",0.12178412,0.030179277
"143","dicot-sim-111-2-20.rsml","dicot","111","2",0.12776674,0.030840544
"144","dicot-sim-111-3-20.rsml","dicot","111","3",0.12009913,0.03301605
"145","dicot-sim-111-4-20.rsml","dicot","111","4",0.11967716,0.03101332
"146","dicot-sim-111-5-20.rsml","dicot","111","5",0.12170337,0.031591512
"147","dicot-sim-111-6-20.rsml","dicot","111","6",0.123972796,0.03179234
"148","dicot-sim-111-7-20.rsml","dicot","111","7",0.11942015,0.032413777
"149","dicot-sim-111-8-20.rsml","dicot","111","8",0.120723896,0.031223167
"150","dicot-sim-111-9-20.rsml","dicot","111","9",0.11635237,0.029536111
"151","dicot-sim-112-1-20.rsml","dicot","112","1",0.1282561,0.033094842
"152","dicot-sim-112-10-20.rsml","dicot","112","10",0.12118173,0.033079453
"153","dicot-sim-112-2-20.rsml","dicot","112","2",0.13343754,0.03577039
"154","dicot-sim-112-3-20.rsml","dicot","112","3",0.11831084,0.03069618
"155","dicot-sim-112-4-20.rsml","dicot","112","4",0.122848846,0.03467132
"156","dicot-sim-112-5-20.rsml","dicot","112","5",0.12560125,0.034182686
"157","dicot-sim-112-6-20.rsml","dicot","112","6",0.12652698,0.033595107
