"","image","specie","group","id","diam_max","diam_mode","diam_mean"
"1","dicot-sim-1-1-20.rsml.jpg","dicot","1","1",0.06773333,0.008466667,0.02198124
"2","dicot-sim-1-10-20.rsml.jpg","dicot","1","10",0.059266668,0.008466667,0.022380516
"3","dicot-sim-1-2-20.rsml.jpg","dicot","1","2",0.0762,0.008466667,0.022154722
"4","dicot-sim-1-3-20.rsml.jpg","dicot","1","3",0.06773333,0.008466667,0.023676133
"5","dicot-sim-1-4-20.rsml.jpg","dicot","1","4",0.06773333,0.008466667,0.022197923
"6","dicot-sim-1-5-20.rsml.jpg","dicot","1","5",0.06773333,0.008466667,0.02381118
"7","dicot-sim-1-6-20.rsml.jpg","dicot","1","6",0.06773333,0.008466667,0.021484273
"8","dicot-sim-1-7-20.rsml.jpg","dicot","1","7",0.06773333,0.008466667,0.022610022
"9","dicot-sim-1-8-20.rsml.jpg","dicot","1","8",0.06773333,0.008466667,0.020782316
"10","dicot-sim-1-9-20.rsml.jpg","dicot","1","9",0.059266668,0.016933333,0.024142878
"11","dicot-sim-10-1-20.rsml.jpg","dicot","10","1",0.09313333,0.008466667,0.015538252
"12","dicot-sim-10-10-20.rsml.jpg","dicot","10","10",0.08466667,0.008466667,0.015127462
"13","dicot-sim-10-2-20.rsml.jpg","dicot","10","2",0.08466667,0.008466667,0.015782746
"14","dicot-sim-10-3-20.rsml.jpg","dicot","10","3",0.08466667,0.008466667,0.01542043
"15","dicot-sim-10-4-20.rsml.jpg","dicot","10","4",0.09313333,0.008466667,0.016101401
"16","dicot-sim-10-5-20.rsml.jpg","dicot","10","5",0.08466667,0.008466667,0.015701262
"17","dicot-sim-10-6-20.rsml.jpg","dicot","10","6",0.08466667,0.008466667,0.015680868
"18","dicot-sim-10-7-20.rsml.jpg","dicot","10","7",0.09313333,0.008466667,0.01563468
"19","dicot-sim-10-8-20.rsml.jpg","dicot","10","8",0.08466667,0.008466667,0.015176705
"20","dicot-sim-10-9-20.rsml.jpg","dicot","10","9",0.08466667,0.008466667,0.015471517
"21","dicot-sim-100-1-20.rsml.jpg","dicot","100","1",0.0508,0.008466667,0.0134
"22","dicot-sim-100-10-20.rsml.jpg","dicot","100","10",0.0508,0.008466667,0.013837778
"23","dicot-sim-100-2-20.rsml.jpg","dicot","100","2",0.0508,0.008466667,0.012866978
"24","dicot-sim-100-3-20.rsml.jpg","dicot","100","3",0.0508,0.008466667,0.014002177
"25","dicot-sim-100-4-20.rsml.jpg","dicot","100","4",0.059266668,0.008466667,0.013804875
"26","dicot-sim-100-5-20.rsml.jpg","dicot","100","5",0.0508,0.008466667,0.0135094505
"27","dicot-sim-100-6-20.rsml.jpg","dicot","100","6",0.0508,0.008466667,0.01407527
"28","dicot-sim-100-7-20.rsml.jpg","dicot","100","7",0.0508,0.008466667,0.013343139
"29","dicot-sim-100-8-20.rsml.jpg","dicot","100","8",0.059266668,0.008466667,0.0135074165
"30","dicot-sim-100-9-20.rsml.jpg","dicot","100","9",0.0508,0.008466667,0.013905737
"31","dicot-sim-101-1-20.rsml.jpg","dicot","101","1",0.06773333,0.008466667,0.017660761
"32","dicot-sim-101-10-20.rsml.jpg","dicot","101","10",0.0508,0.008466667,0.01720957
"33","dicot-sim-101-2-20.rsml.jpg","dicot","101","2",0.0508,0.008466667,0.017714508
"34","dicot-sim-101-3-20.rsml.jpg","dicot","101","3",0.059266668,0.008466667,0.019010382
