"","image","diam_max","diam_mean","diam_mode","length","area","width","depth","width_depth_ratio","com_x","com_y","tip_count","cross_vert_mean","cross_vert_max","convexhull","specie","group","id","PL.PC1","PL.PC2","PL.PC3","width50","count50","exploration"
"19","dicot-sim-10-8-20.rsml.jpg",0.08466667,0.015176705,0.008466667,219.26126,560.51025,3.5052,23.588133,0.14860015,0.5521472,0.44439182,155,64.61809,1333,87060,"dicot","10","8",-90.3757185547939,69.7730007001533,54.1004279735842,0.471337581465374,12.119403,0.00643820640937285
"20","dicot-sim-10-9-20.rsml.jpg",0.08466667,0.015471517,0.008466667,190.8556,506.89087,3.2088666,23.588133,0.13603733,0.47226632,0.4457841,146,62.77095,1422,35484,"dicot","10","9",-81.972227172429,55.1876417536726,-23.4841955845571,0.523841491972022,9.552238,0.0142850543907113
"21","dicot-sim-100-1-20.rsml.jpg",0.0508,0.0134,0.008466667,189.24693,422.30887,6.112933,34.552467,0.17691742,0.4684981,0.3880086,90,32.372883,1669,93167,"dicot","100","1",-45.9659788400054,-8.89520818500188,-64.4564217661357,0.689782728397679,8.494506,0.00453281601854734
"22","dicot-sim-100-10-20.rsml.jpg",0.0508,0.013837778,0.008466667,161.29,388.68774,5.0038,34.552467,0.14481744,0.53652805,0.3978679,87,30.65625,722,106457,"dicot","100","10",-166.042426536031,-35.9322818878257,23.202209189823,0.686079519637885,5.4835167,0.00365112430370948
"23","dicot-sim-100-2-20.rsml.jpg",0.0508,0.012866978,0.008466667,176.44533,380.60205,5.1646667,34.552467,0.14947318,0.44578648,0.3844548,90,33.973156,1406,76062,"dicot","100","2",-83.2420885816429,-67.0457101521645,5.50471401116265,0.741886335227158,6.4505496,0.00500383963082748
"24","dicot-sim-100-3-20.rsml.jpg",0.0508,0.014002177,0.008466667,164.07553,394.85992,5.5456667,34.552467,0.16049987,0.5277303,0.38971087,81,28.498432,714,172347,"dicot","100","3",-217.830025541008,-5.00240961281849,-12.213439375328,0.664165173049639,6,0.00229107509849316
"25","dicot-sim-100-4-20.rsml.jpg",0.059266668,0.013804875,0.008466667,171.3484,404.99454,5.6811333,34.552467,0.16442049,0.5826705,0.3796643,89,30.506098,1082,177187,"dicot","100","4",-78.3879089313094,-45.2159128547472,61.3599149336818,0.659532144976354,6.4065933,0.00228568992081812
"26","dicot-sim-100-5-20.rsml.jpg",0.0508,0.0135094505,0.008466667,184.912,417.96545,6.8241334,34.552467,0.19750062,0.5791799,0.38093078,91,26.743654,892,292208,"dicot","100","5",-59.7138764919748,-149.386278049164,27.3466256248234,0.889744862380444,6.934066,0.00143036963395937
"27","dicot-sim-100-6-20.rsml.jpg",0.0508,0.01407527,0.008466667,164.0078,396.91733,6.0706,34.552467,0.17569223,0.5094931,0.38795817,78,27.031519,695,183654,"dicot","100","6",-96.1695272204833,15.7668129747643,-8.43997625487543,0.575838244185632,6.2747254,0.00216122344190706
"28","dicot-sim-100-7-20.rsml.jpg",0.0508,0.013343139,0.008466667,180.11986,407.22974,6.0959997,34.560932,0.17638412,0.5258677,0.39023256,86,30.252125,2124,188943,"dicot","100","7",-138.808126417426,-62.5712191887787,21.7340949213769,0.765565447905852,6.252747,0.00215530472152977
"29","dicot-sim-100-8-20.rsml.jpg",0.059266668,0.0135074165,0.008466667,169.48573,393.2174,5.8335333,34.552467,0.16883117,0.460263,0.40106764,87,28.914202,662,120565,"dicot","100","8",-166.345369970039,-73.7408594745197,18.0673740138644,0.783664443716406,5.5274725,0.00326145564633185
"30","dicot-sim-100-9-20.rsml.jpg",0.0508,0.013905737,0.008466667,152.76407,372.9736,5.7488666,34.552467,0.1663808,0.53468776,0.39320964,83,27.675516,1536,187941,"dicot","100","9",-220.431228681625,-13.6651937739795,40.6776931399585,0.663330340131448,5.4175825,0.00198452493069634
"31","dicot-sim-101-1-20.rsml.jpg",0.06773333,0.017660761,0.008466667,76.47093,275.67465,4.0894,30.547733,0.13386919,0.5593731,0.416172,42,17.363636,1329,147156,"dicot","101","1",-274.170754898759,26.2474029597963,14.3114141230871,0.457264963557236,2.3253012,0.00187334971051129
"32","dicot-sim-101-10-20.rsml.jpg",0.0508,0.01720957,0.008466667,88.23113,294.52145,4.614333,30.547733,0.15105322,0.45890775,0.41615635,56,22.314177,2239,143826,"dicot","101","10",-289.139765940203,9.7536956151116,-1.32491024435018,0.51940847657296,2.9518073,0.00204776222657934
"33","dicot-sim-101-2-20.rsml.jpg",0.0508,0.017714508,0.008466667,84.6074,298.64474,4.7413335,30.547733,0.15521064,0.5176019,0.405646,49,14.794871,738,163750,"dicot","101","2",-240.367858878129,42.6929241352349,-56.8228158149352,0.440259727981111,3.5060241,0.00182378467175573
"34","dicot-sim-101-3-20.rsml.jpg",0.059266668,0.019010382,0.008466667,75.996796,294.5384,4.614333,30.547733,0.15105322,0.52947086,0.398845,43,20.619772,2655,164293,"dicot","101","3",-232.883174424044,1.67572321972106,-28.4526918587078,0.610189576061016,2.0120482,0.00179276292964399
"35","dicot-sim-101-4-20.rsml.jpg",0.0508,0.018017387,0.008466667,71.416336,257.75073,3.8269334,30.547733,0.12527716,0.44858354,0.42816323,43,15.506726,904,95407,"dicot","101","4",-307.99967541997,86.2147470082722,28.5038852391457,0.0578231293039937,2,0.00270159139266511
"36","dicot-sim-101-5-20.rsml.jpg",0.059266668,0.018405529,0.008466667,81.36467,297.84888,4.2756667,30.547733,0.13996674,0.43230054,0.4049452,46,15.963563,817,97865,"dicot","101","5",-291.76383767125,75.0839173394638,2.00002888066772,0.294117656019875,2.4939759,0.00304346681653298
"37","dicot-sim-101-6-20.rsml.jpg",0.0508,0.01945375,0.008466667,68.088936,268.97754,3.5898666,30.547733,0.11751663,0.45683014,0.40673086,44,14.870193,729,84627,"dicot","101","6",-320.925732041686,30.3098545985678,-44.704529410335,0.387654272519437,1.120482,0.00317838916657804
