"","image","tot_root_length","width","depth","direction","n_primary","tot_prim_length","mean_prim_length","mean_prim_diameter","mean_lat_density","n_laterals","tot_lat_length","mean_lat_length","mean_lat_diameter","mean_lat_angle","tree_size","tree_magnitude","tree_altitude","tree_index","specie","group","id"
"31","dicot-sim-101-1-20.rsml",90.57066,3.6067998,29.9974,2.2602868,1,30,30.49996,0.051750284,2.4795523,49,29,1.2259326,0.019869277,52.674805,99,50,50,1,"dicot","101","1"
"32","dicot-sim-101-10-20.rsml",105.2525,4.0555334,29.9974,2.2766616,1,30,30.499775,0.053480603,2.9354036,58,37,1.28884,0.018799376,57.35217,117,59,59,1,"dicot","101","10"
"33","dicot-sim-101-2-20.rsml",102.564224,4.309533,29.9974,2.290783,1,30,30.499763,0.052917432,2.7328963,54,37,1.334527,0.019215336,55.642845,109,55,55,1,"dicot","101","2"
"34","dicot-sim-101-3-20.rsml",93.06763,4.2248664,29.9974,2.31832,1,30,30.499554,0.05336805,2.450959,47,32,1.3312356,0.020397628,55.85159,95,48,48,1,"dicot","101","3"
"35","dicot-sim-101-4-20.rsml",89.733635,3.1411333,29.9974,2.2988393,1,30,30.499804,0.053660315,2.6327863,52,26,1.1391121,0.019433716,52.204975,105,53,53,1,"dicot","101","4"
"36","dicot-sim-101-5-20.rsml",100.63979,3.7168667,29.9974,2.3185527,1,30,30.499872,0.053842675,2.5814078,51,36,1.3752925,0.019924965,52.27395,103,52,52,1,"dicot","101","5"
"37","dicot-sim-101-6-20.rsml",81.94718,3.0564666,29.9974,2.3326507,1,30,30.5,0.05378032,2.428927,48,24,1.071816,0.020254798,49.197662,97,49,49,1,"dicot","101","6"
"38","dicot-sim-101-7-20.rsml",97.28976,4.2079334,29.9974,2.2543428,1,30,30.49982,0.053165384,2.7850082,55,32,1.2143619,0.019323861,54.009148,111,56,56,1,"dicot","101","7"
"39","dicot-sim-101-8-20.rsml",97.78104,4.1656,29.9974,2.1728532,1,30,30.499674,0.05320643,2.530252,50,37,1.3456271,0.01989819,55.2759,101,51,51,1,"dicot","101","8"
"40","dicot-sim-101-9-20.rsml",90.806114,3.4713333,29.9974,2.2421567,1,30,30.49988,0.052639827,2.7228153,53,30,1.1378535,0.019497236,49.48543,107,54,54,1,"dicot","101","9"
"41","dicot-sim-102-1-20.rsml",15.202653,0.5588,7.992533,2.3546746,1,8,8.499918,0.04448858,1.9231545,6,4,1.1171227,0.014771709,27.329382,13,7,7,1,"dicot","102","1"
"42","dicot-sim-102-10-20.rsml",19.425045,1.1260667,7.992533,2.38973,1,8,8.499638,0.043287076,2.6566043,9,7,1.2139344,0.014150336,34.30123,19,10,10,1,"dicot","102","10"
"43","dicot-sim-102-2-20.rsml",20.053806,1.6340667,7.992533,2.4043994,1,8,8.499998,0.043219797,2.6564355,9,6,1.2837566,0.013789782,36.143105,19,10,10,1,"dicot","102","2"
"44","dicot-sim-102-3-20.rsml",20.734451,1.0668,7.992533,2.1794016,1,8,8.499705,0.04249077,3.217209,10,8,1.2234745,0.0141215995,27.557835,21,11,11,1,"dicot","102","3"
"45","dicot-sim-102-4-20.rsml",19.151604,1.2276666,7.992533,2.3399932,1,8,8.499981,0.04403815,2.951604,10,5,1.0651624,0.013776176,33.58346,21,11,11,1,"dicot","102","4"
"46","dicot-sim-102-5-20.rsml",19.110424,1.1938,7.992533,2.3753946,1,8,8.499972,0.04316623,2.9090183,9,5,1.1789387,0.014484415,37.21529,19,10,10,1,"dicot","102","5"
"47","dicot-sim-102-6-20.rsml",18.96918,1.1514666,7.992533,2.5247507,1,8,8.499948,0.044561386,2.6564584,9,5,1.1632484,0.014109996,36.966393,19,10,10,1,"dicot","102","6"
"48","dicot-sim-102-7-20.rsml",19.560347,1.3546667,7.992533,2.23359,1,8,8.499997,0.0410058,2.9515953,10,6,1.1060351,0.013634944,36.26901,21,11,11,1,"dicot","102","7"
"49","dicot-sim-102-8-20.rsml",16.08619,1.1938,7.992533,2.1888287,1,8,8.499949,0.043825395,2.0661342,7,3,1.0837486,0.014583455,34.93887,15,8,8,1,"dicot","102","8"
"50","dicot-sim-102-9-20.rsml",14.124433,1.4308666,7.992533,2.4505014,1,8,8.499725,0.042891238,1.1806947,4,3,1.4061768,0.0143292025,40.08715,9,5,5,1,"dicot","102","9"
"51","dicot-sim-103-1-20.rsml",121.73823,2.4891999,15.993533,2.2551882,1,16,16.499496,0.09703328,8.511399,105,48,1.0022734,0.016115358,39.982567,211,106,106,1,"dicot","103","1"
"52","dicot-sim-103-10-20.rsml",135.67393,2.794,15.993533,2.325572,1,16,16.49994,0.0989466,9.188701,114,48,1.045386,0.016212024,40.035744,229,115,115,1,"dicot","103","10"
"53","dicot-sim-103-2-20.rsml",145.58037,2.7008667,15.993533,2.2359035,1,16,16.499905,0.10142199,10.39777,129,60,1.0006238,0.016417567,38.14983,259,130,130,1,"dicot","103","2"
"54","dicot-sim-103-3-20.rsml",130.00209,2.8448,15.993533,2.2108865,1,16,16.499994,0.09685055,10.075287,125,37,0.9080167,0.015935617,39.456985,251,126,126,1,"dicot","103","3"
"55","dicot-sim-103-4-20.rsml",123.53473,2.7855332,15.993533,2.2740633,1,16,16.499943,0.098232955,9.027494,112,42,0.9556677,0.01640115,41.187527,225,113,113,1,"dicot","103","4"
"56","dicot-sim-103-5-20.rsml",118.85748,2.4214666,15.993533,2.2720408,1,16,16.499569,0.09691814,9.217795,115,34,0.8900689,0.015903652,41.743774,231,116,116,1,"dicot","103","5"
"57","dicot-sim-103-6-20.rsml",142.82692,2.667,15.993533,2.3063598,1,16,16.499746,0.1027044,10.330199,126,56,1.002597,0.01630464,41.936234,253,127,127,1,"dicot","103","6"
"58","dicot-sim-103-7-20.rsml",139.8379,2.7601333,15.993533,2.3109164,1,16,16.499826,0.09945331,10.271438,126,56,0.9788735,0.016099881,43.421665,253,127,127,1,"dicot","103","7"
"59","dicot-sim-103-8-20.rsml",141.34131,2.3283334,15.993533,2.2811964,1,16,16.499779,0.099423125,10.23667,127,49,0.9830042,0.016026704,37.874058,255,128,128,1,"dicot","103","8"
"60","dicot-sim-103-9-20.rsml",148.70596,2.2521334,15.993533,2.2749422,1,16,16.499687,0.10113206,10.740633,134,56,0.9866142,0.01617315,39.61784,269,135,135,1,"dicot","103","9"
"61","dicot-sim-104-1-20.rsml",237.65602,9.762067,29.497866,2.3251572,1,29,29.999329,0.09202506,2.3889337,56,180,3.7081556,0.03135902,42.51637,113,57,57,1,"dicot","104","1"
"62","dicot-sim-104-10-20.rsml",278.87857,11.751733,29.497866,2.2770915,1,29,29.99982,0.096113026,2.5595255,60,216,4.1479793,0.031916935,47.819942,121,61,61,1,"dicot","104","10"
