"","image","specie","group","id","PL.PC1","PL.PC2","PL.PC3","width50","count50","width_depth_ratio","com_y","com_x","convexhull","exploration"
"7761","monocot-sim-348-1-20.rsml.jpg","monocot","348","1",-115.308659911321,-222.783241426845,360.6837219089,0.535813724128009,6.283582,0.34775767,0.4287771,0.4191299,98225,0.00234644540595571
"7762","monocot-sim-348-10-20.rsml.jpg","monocot","348","10",-206.552734790471,-245.909562274172,62.5251174532318,0.517328112701666,6.0895524,0.29622343,0.42569658,0.47531128,124929,0.00196375637362022
"7763","monocot-sim-348-2-20.rsml.jpg","monocot","348","2",-69.0192372479234,-250.227577543642,-348.972554578758,0.528907906760086,8.253732,0.3646735,0.42438364,0.5606931,297842,0.000818092142813975
"7764","monocot-sim-348-3-20.rsml.jpg","monocot","348","3",-55.705429296568,-235.212556116994,384.318908569321,0.529877603015362,5.292308,0.37971604,0.4235196,0.45445704,107751,0.00197807212926098
"7765","monocot-sim-348-4-20.rsml.jpg","monocot","348","4",-30.6302487962573,-278.215115581141,-339.32594945153,0.510952166634211,4.238806,0.30487806,0.4312979,0.68602395,230824,0.000913336524798115
"7766","monocot-sim-348-5-20.rsml.jpg","monocot","348","5",-356.26470769125,-156.667562321716,-243.273237130798,0.532971037044896,6.925373,0.28206137,0.440175,0.54395896,270411,0.000816605611458114
"7767","monocot-sim-348-6-20.rsml.jpg","monocot","348","6",-66.1193021325744,-274.973027253652,-89.3419841306486,0.522711351631372,6.4925375,0.368214,0.42662084,0.507347,261501,0.000947259322144084
"7768","monocot-sim-348-7-20.rsml.jpg","monocot","348","7",148.291789096071,-353.872892171893,282.037424474392,0.495709040164775,3.1967213,0.37986872,0.42721593,0.3746557,90260,0.00206302415244848
"7769","monocot-sim-348-8-20.rsml.jpg","monocot","348","8",328.226365939526,-403.595740375956,146.435194716533,0.499705713767611,3.0754716,0.43893895,0.4293318,0.44137952,135316,0.0012263794377605
"7770","monocot-sim-348-9-20.rsml.jpg","monocot","348","9",-338.387188558903,-191.509309463894,-270.931959773615,0.506416964269215,5.3432837,0.3033045,0.43687698,0.54951733,261754,0.000844227786394859
"7771","monocot-sim-349-1-20.rsml.jpg","monocot","349","1",523.512901660337,453.178477435036,201.975187809001,0.774721657744619,2.8076923,0.8367899,0.28981483,0.4384012,35537,0.00340975026029209
"7772","monocot-sim-349-10-20.rsml.jpg","monocot","349","10",516.866865428214,420.749333865798,-322.972041296689,0.800341379170524,2.4,0.8227612,0.29312158,0.5938715,2402,0.0495090882597835
"7773","monocot-sim-349-2-20.rsml.jpg","monocot","349","2",522.433451775157,252.888388970536,349.396211067213,0.703421982568666,5,0.70103985,0.3221783,0.35784808,3214,0.0436919197261979
"7774","monocot-sim-349-3-20.rsml.jpg","monocot","349","3",423.95747177826,-73.148147177811,-568.188306246641,0.581870528175479,5.46875,0.5778932,0.30898362,0.70298505,235897,0.000780074608833516
"7775","monocot-sim-349-4-20.rsml.jpg","monocot","349","4",528.368557918272,448.6280029121,526.050653311265,0.783561575861142,3.28,0.90839696,0.31217384,0.44547594,40133,0.00313994194303939
"7776","monocot-sim-349-5-20.rsml.jpg","monocot","349","5",962.199539148675,-47.2615897858452,318.65124914293,0.482232576220055,2.15,1.1710037,0.2662476,0.54716825,58297,0.0014291333344769
"7777","monocot-sim-349-6-20.rsml.jpg","monocot","349","6",637.649267769681,167.093932998334,-466.224989627138,0.735832604738946,4.04,0.83936864,0.2710319,0.5503517,292,0.340576198630137
"7778","monocot-sim-349-7-20.rsml.jpg","monocot","349","7",977.021535830959,61.3901671133915,370.668089846084,0.664145237872903,3.0434783,0.9162358,0.2853049,0.58569044,157,0.761320031847134
"7779","monocot-sim-349-8-20.rsml.jpg","monocot","349","8",433.696343224837,4.57992755776567,769.991395923393,0.610129612227544,5.03125,0.6013514,0.31020796,0.34387138,9699,0.0175870275286112
"7780","monocot-sim-349-9-20.rsml.jpg","monocot","349","9",645.178368121558,152.883569109952,506.013881744786,0.667380869054658,5.1,0.7229402,0.3142729,0.46971324,56472,0.00281513723615243
"7781","monocot-sim-35-1-9.rsml.jpg","monocot","35","1",988.436921437908,203.656431936972,286.344903046392,0.698818074348117,40.953487,0.8913044,0.36855564,0.44744816,18441,0.0562583807819533
"7782","monocot-sim-35-10-9.rsml.jpg","monocot","35","10",1038.89215204685,231.39977518274,-169.337043431414,0.697108398974387,42.45,0.9372027,0.3695012,0.52770025,108326,0.00986335690415967
"7783","monocot-sim-35-2-9.rsml.jpg","monocot","35","2",978.428142808082,123.912436569335,67.3784910054355,0.672903501183855,44.219513,0.9082397,0.37597886,0.47468463,40847,0.0255922956398267
"7784","monocot-sim-35-3-9.rsml.jpg","monocot","35","3",987.160682913511,66.2963388702099,105.632334845208,0.652700971170399,44.76744,0.8604444,0.38090846,0.5141574,87269,0.0122456255944264
"7785","monocot-sim-35-4-9.rsml.jpg","monocot","35","4",1055.78292777869,3.01129133676473,-72.9295732718074,0.631312132979852,41.95,0.9166667,0.37173888,0.5164983,97079,0.0114274673204298
"7786","monocot-sim-35-5-9.rsml.jpg","monocot","35","5",1094.95844874517,107.947878310685,154.81185403661,0.642937459153647,40.65116,0.8647687,0.37222075,0.452135,21261,0.0518234372795259
"7787","monocot-sim-35-6-9.rsml.jpg","monocot","35","6",1047.69068241527,15.3766957851633,-91.2638269793108,0.621830650211665,43.95,0.91927826,0.3787959,0.5559539,136335,0.0073010386181098
"7788","monocot-sim-35-7-9.rsml.jpg","monocot","35","7",1049.38711256851,275.270381222418,-88.6031626184061,0.70926092159449,41.394737,0.9650699,0.37293562,0.5216294,80918,0.0126577201611508
